C,sigma,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.5,0.1,0.8839124191350429,0.9846242850555699,0.4364859693877551,0.0015810570967745826,0.0020947547552518657,0.00796585865076001
10,0.3,0.7920542465257626,0.9982573820225364,0.052022710059241084,0.005699399024977162,0.0013217039699093686,0.008710138072101498
1,0.1,0.8322544314448079,0.9907183336490497,0.26330247907458,0.00477202139933637,0.0028882225101983954,0.012080521196988634
10,0.1,0.8316863538638585,0.9884831694478408,0.2718455784620262,0.003646940327119632,0.0029658869125731755,0.012608582868756737
100,0.1,0.8314145820835476,0.9885968488637081,0.2680629562369336,0.0038835177982129193,0.0034599424823069363,0.007153376553231146
1,0.2,0.815692323176118,0.9983330750199475,0.09647966983609682,0.002991958874741949,9.6962545997417e-4,0.017216572949528535
10,0.2,0.8149997870290961,0.9975754490347689,0.09698943126846908,0.0032370742344199656,0.0013485978971761077,0.02154397038599316
100,0.2,0.8148195508069546,0.9975754275086535,0.09516153435165184,0.0034481341592430903,0.0011782951596654191,0.0274423634090204
0.5,0.02,0.8786253835039399,0.8910063746003318,0.7093683465564796,0.006339556980464741,0.009265660354133273,0.014095219083080467
1,0.02,0.8911642885709341,0.9030157944284672,0.7443049662334424,0.005106392198993632,0.004572591928806537,0.010657531589590017
2,0.02,0.8933673838482544,0.9061980790094543,0.7451552069327916,0.004284245721260962,0.0034930787054628224,0.009479250156265906
0.5,0.05,0.8524775796764594,0.7768561610612662,0.7046427266523438,0.005379378547382714,0.20268076208445088,0.16289437107810453
1,0.05,0.8566707058131683,0.9571528411602289,0.5050589904221576,0.0049077008409866354,0.003865335188343675,0.022450180991796867
2,0.05,0.8572265044435186,0.9565845014838669,0.49855555098901483,0.004893253682489942,0.002713083708773732,0.017775688624231095
0.5,0.1,0.8316097511485512,0.863838364704059,0.4296021584582596,0.004727471996782227,0.2661257756777388,0.26256246821232204
1,0.1,0.8322536585689047,0.99094563507780975,0.26347289936242563,0.004772529037977281,0.002106625826511303,0.009539668340265558
2,0.1,0.8322876102308773,0.9906425186703175,0.25866930000501315,0.004351158388328405,0.0029425827500278437,0.014940300043346675
0.25,0.01,0.8885482173673465,0.8618730734126643,0.770316962586031,0.005110713883371652,0.004240389323684874,0.009215042783246264
0.35,0.01,0.8963044638553184,0.871912408801024,0.7805597213948504,0.0033544780380407183,0.003983507176608781,0.0077676237971265214
0.5,0.01,0.9022985713161654,0.8816865998496042,0.7899101109082263,0.002529283496490229,0.004113096363561309,0.005865465476212766
0.25,0.015,0.8726167725962527,0.8671768069021336,0.7289196101659626,0.008220246415897987,0.017966942446164112,0.015681278458805847
0.35,0.015,0.8811792247332818,0.8751705514129742,0.7373775581221521,0.006405947861731173,0.010433043287608705,0.009579533214192564
0.5,0.015,0.889419847281755,0.8853994601250237,0.7474079396686709,0.004680658819122572,0.004103228971226753,0.008336854594453758
0.25,0.02,0.8620032811280962,0.866873834002078,0.7185069369014978,0.008763152595404196,0.02601064065103356,0.025663384664987028
0.35,0.02,0.870696592397578,0.8820278246568737,0.7061381743883608,0.007473968025898131,0.016282234113925306,0.020857000240621818
0.5,0.02,0.8786253835039399,0.889793987899453,0.7119609443345213,0.006339556980464741,0.008386572887607236,0.011215512503008564
0.5,0.005,0.911977538524345,0.8831638223492742,0.816261150325652,0.0017138739193447627,0.008990291651365905,0.005186405880005208
0.55,0.005,0.912567843293993,0.8849064762035969,0.8171960908203649,0.0016808938714105524,0.008428518019859799,0.005781644164204794
0.6,0.005,0.9130403000967765,0.8866492089870097,0.8180886859337549,0.0016531088123759932,0.008172723042068829,0.006195731198338187
0.5,0.008,0.9069100026804576,0.8812318893615068,0.8051684759953265,0.001851875921631048,0.00641669123884772,0.0046480921355198735
0.55,0.008,0.907902192115941,0.8841488932706493,0.806528405865305,0.0017690977776092457,0.006922580393635788,0.003407796748151451
0.6,0.008,0.9087228412022699,0.8860053054699294,0.8076333601755599,0.0017091512926905067,0.006152378362097888,0.004486784619722465
0.07,0.001,0.8293476352256685,0.7787919400483333,0.6103374939537245,0.0058614239996704585,0.009645431013768501,0.01646218923978445
0.08,0.001,0.8354042311824565,0.7854217827067799,0.6235559461704212,0.006754905579506382,0.010252558820714078,0.022526330314136134
0.6,0.001,0.9113307989763858,0.8813451382550643,0.8044447475423103,0.0013561366206334038,0.009259031122519298,0.013177754763807692
0.07,0.0025,0.8566239295868999,0.816600617368992,0.6930485287283333,0.010239275504231597,0.016374797694057364,0.03775014385355203
0.08,0.0025,0.8655490899363536,0.8245944551596663,0.7213129868352653,0.0102486563588088,0.014933317081203061,0.038376178684635276
0.6,0.0025,0.9139168467591169,0.884413872576877,0.8105228272587554,0.0015842570006878898,0.009417039134434072,0.009318839530206516
0.07,0.005,0.8577955776430201,0.8233824128766353,0.7104323194258082,0.010344759567858453,0.018585632452881348,0.034982470986521234
0.08,0.005,0.8653742130574966,0.8265267899682561,0.7352959953897008,0.009997890398451776,0.015662838887292845,0.029747660354376263
0.6,0.005,0.9130403000967765,0.8859293900359917,0.8187261790293713,0.0016531088123759932,0.009452321969931276,0.005745595184508949
