alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,
1,1.00E-04,0.919136423,0.893608797,0.820631378,6.64E-04,0.002173073,0.002831374,
1,0,0.91913155,0.89359175,0.820612245,6.66E-04,0.002181259,0.002854052,
1,2.00E-04,0.919193454,0.89392131,0.820401786,6.55E-04,0.002125879,0.002734865,
1,3.00E-04,0.919204156,0.894273599,0.820178571,6.63E-04,0.002002207,0.002440341,
1,4.00E-04,0.919177412,0.894659982,0.819885204,6.70E-04,0.002063906,0.002407114,
1,5.00E-04,0.919118607,0.895063415,0.819508929,6.77E-04,0.002198913,0.002324681,
1,6.00E-04,0.919034504,0.895302061,0.819343112,6.85E-04,0.002121261,0.002367932,
1,7.00E-04,0.918926536,0.895472521,0.819177296,6.94E-04,0.002130842,0.002346037,
1,8.00E-04,0.918798946,0.895631619,0.81869898,7.01E-04,0.002016151,0.002327872,
1,9.00E-04,0.918651662,0.895705485,0.818067602,7.13E-04,0.002065328,0.002201479,
1,0.001,0.918490422,0.895819125,0.817684949,7.20E-04,0.002031413,0.002216555,
1,0.001,0.918490422,0.895819125,0.817684949,7.20E-04,0.002031413,0.002216555,
1,0.0011,0.918312304,0.895785032,0.817372449,7.28E-04,0.001840657,0.002257779,
1,0.0012,0.918128411,0.895750938,0.816951531,7.34E-04,0.001684648,0.002186998,
1,0.0013,0.917952611,0.895819124,0.816524235,7.46E-04,0.001590921,0.00215123,
1,0.0014,0.917777656,0.895955496,0.816186224,7.61E-04,0.001689705,0.002107199,
1,0.0015,0.917596018,0.895807764,0.815899235,7.77E-04,0.001676779,0.002267127,
1,0.0016,0.917404889,0.895739579,0.815561224,7.97E-04,0.001773248,0.002294257,
1,0.0017,0.917205661,0.895796401,0.815242347,8.25E-04,0.001758114,0.002260772,
1,0.0018,0.917021305,0.895716853,0.814808673,8.52E-04,0.001757439,0.002295431,
1,0.0019,0.916830497,0.895631622,0.814438776,8.78E-04,0.001695836,0.002373486,
1,0.002,0.916647759,0.8955123,0.814221939,9.05E-04,0.00181148,0.002549226,
1,0.0021,0.916460571,0.895523666,0.813915816,9.28E-04,0.00179652,0.002545494,
1,0.0022,0.916277065,0.895375932,0.813533163,9.47E-04,0.001640774,0.002534184,
1,0.0023,0.91608968,0.895290702,0.813329082,9.62E-04,0.001700868,0.002670492,
1,0.0024,0.915902147,0.895222516,0.813016582,9.67E-04,0.001556022,0.002871793,
1,0.0025,0.915708037,0.895177059,0.812678571,9.72E-04,0.001509338,0.00286108,
1,0.0026,0.915526785,0.895000915,0.812346939,9.63E-04,0.001452386,0.002713403,
1,0.0027,0.91533428,0.894927047,0.812091837,9.54E-04,0.001400244,0.002639701,
1,0.0028,0.915153833,0.894898635,0.811728316,9.46E-04,0.00128244,0.002574075,
1,0.0029,0.914971591,0.894796357,0.811447704,9.35E-04,0.00125545,0.00251479,
1,0.003,0.91478862,0.894705445,0.811116071,9.30E-04,0.001216809,0.002741383,
1,0.0031,0.914626112,0.894586119,0.810860969,9.27E-04,0.001125799,0.002728463,
1,0.001,0.913626086,0.894506577,0.810816327,6.96E-04,0.002174455,0.002470571,PCA
1,0.0032,0.914456825,0.894580438,0.810542092,9.23E-04,0.001050971,0.002725013,
1,0.0033,0.914286326,0.894449749,0.810210459,9.20E-04,0.001019701,0.002897701,
