shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.05,2,1,100,0.9010770854601099,0.8719941787523308,0.8105357142857142,8.430620489852022e-4,0.005192236080715223,0.0036392996307853566
0.05,2,20,100,0.9010767553066246,0.8678576335149664,0.8112946428571428,9.040177496815785e-4,0.009263679373711543,0.005766016851058167
0.1,2,1,100,0.913259857676657,0.8810911819365236,0.824579081632653,8.317296947090017e-4,0.004673927144534969,0.0024055079226735446
0.1,2,20,100,0.9134090569553035,0.8819491884607463,0.8247704081632653,5.55497895545354e-4,0.0038311635552064167,0.003044019866710391
0.15,2,1,100,0.9193129135650533,0.8871823751327231,0.8310140306122449,7.891070824987628e-4,0.0012143067026796671,0.003262742262145432
0.15,2,20,100,0.9190894064893633,0.8872505672822539,0.8305102040816327,8.647886215764156e-4,0.003759556024145648,0.004704086993389725
0.05,4,1,100,0.9146111389550681,0.8879778768141754,0.8229017857142857,8.267733704523598e-4,0.003227018391230131,0.0024246648837027074
0.05,4,20,100,0.9141720948844906,0.8897506738213893,0.8221237244897959,0.001021960951815905,0.003619176961646832,0.0036910954638693077
0.1,4,1,100,0.9252311606766933,0.8955577509260252,0.8349107142857143,7.569753822927772e-4,0.0025756302654774167,0.0024825800053419594
0.1,4,20,100,0.9256563524589014,0.8950804394565516,0.8341071428571428,7.648215930849286e-4,0.0036746028488850915,0.00472910566967738
0.15,4,1,100,0.9301268272975138,0.8994045332837566,0.8406951530612246,4.6870991029577424e-4,0.0034804514868299334,0.0033344743590397177
0.15,4,20,100,0.9303271696646188,0.8983590052897732,0.8418877551020408,0.0013607995565718522,0.003775062982085555,0.0027642839957129186
0.05,6,1,100,0.9215307752277229,0.8938872248701993,0.8286224489795918,6.034392198259919e-4,0.002541622893004494,0.0033468170067912544
0.05,6,20,100,0.9216245940908017,0.8941201871638721,0.8289732142857144,0.0010332926189778636,0.0031628829349443634,0.0032494702045913213
0.1,6,1,100,0.9305363275501216,0.9010750469095458,0.840204081632653,0.0010455440383570545,0.003226785039163881,0.0024303197689292096
0.1,6,20,100,0.931126798839724,0.9011034582604156,0.8403826530612245,8.572798530056089e-4,0.0029093308356300477,0.0023249213324099847
0.15,6,1,100,0.9340771441350113,0.9041206435076455,0.8450127551020408,8.966440643639964e-4,0.003480011553291854,0.003197103283798972
0.15,6,20,100,0.9346654252308122,0.9037058394638072,0.8460076530612245,5.110458497062288e-4,0.0032696973788123,0.0019138498256780093
0.05,2,1,150,0.908470972577975,0.8787501666290803,0.8192474489795919,6.492037123756888e-4,0.004519753006124255,0.0036168783743115844
0.05,2,20,150,0.9085594108198844,0.8791422537316871,0.8186989795918368,6.118421617676427e-4,0.004867168585747773,0.004296666452570391
0.1,2,1,150,0.9194807530395545,0.8868755345127627,0.8311734693877552,6.803198158432094e-4,0.0045246731553797125,0.0034557853468637997
0.1,2,20,150,0.9197456649905726,0.886773275184266,0.8311989795918368,7.923753657337559e-4,0.0041565791957609965,0.003920287926657216
0.15,2,1,150,0.9246900360506551,0.8927621798333113,0.836766581632653,3.801125248751154e-4,0.002248907832533731,0.0036229457881869855
0.15,2,20,150,0.9245621129742336,0.8931656061964772,0.8355293367346939,7.254306083333314e-4,0.0029013314728849634,0.0041897161127920236
0.05,4,1,150,0.9213805050976241,0.8919269070389411,0.8301147959183673,7.208793467530127e-4,0.0029142883704046324,0.003243989457155548
0.05,4,20,150,0.9217339347591607,0.892336026681742,0.8301403061224489,9.579662474973788e-4,0.0031650794699386474,0.0036252184503467537
0.1,4,1,150,0.930497589185782,0.900103410479032,0.8415880102040816,5.953121053924584e-4,0.0026214480182433016,0.0023329766799614826
0.1,4,20,150,0.9307947603111792,0.900319324896751,0.8399553571428571,4.516302560293833e-4,0.0037270764850913865,0.004038619117798107
0.15,4,1,150,0.9336697552860356,0.9030808346219448,0.8459885204081633,7.751471126712709e-4,0.002837501749836971,0.003151681570847718
0.15,4,20,150,0.9341085678916818,0.9033649177819828,0.8467602040816327,8.976108210120709e-4,0.003047321605120904,0.0025402955358715543
0.05,6,1,150,0.9279410689557919,0.8975123822576686,0.8369515306122449,4.7071650226635674e-4,0.0027525811372635127,0.003248672156898464
0.05,6,20,150,0.928223024673406,0.8977567035062443,0.8372193877551021,9.623225300590391e-4,0.003511812885999477,0.004152662412531654
0.1,6,1,150,0.9344519126939723,0.905671848637552,0.8455803571428571,8.409233909486783e-4,0.002679460686458192,0.0017863690035187746
