C,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.1,0.9147200198227118,0.8991147292397165,0.809547193877551,0.0013060770020465865,0.0018587794141735183,0.004652859474121569
0.001,0.904093561655719,0.8917636848691499,0.7816204515184676,0.0015435476604996107,0.004262631887422382,0.017690429030608534
0.01,0.9054217253887998,0.8883161483178058,0.8042751131009185,0.0021509157507509716,0.005106596557567262,0.008032239260917779
1,0.8980930671362194,0.883316390486605,0.7940172809441719,0.00348932693642836,0.006088274312937163,0.00868893198097285
10,0.8977009354838112,0.8847003851739598,0.7895594276809746,0.0037984949617136062,0.002291500576071764,0.005647456938738543
100,0.8969044565601895,0.8851632773797838,0.7879719425717864,0.0030986495847968453,0.005863954109617006,0.006278618059781592
0.005,0.904930706064976,0.8913090820116298,0.7943715147822685,0.0015084782650453682,0.0037942205577863233,0.014397248943616579
0.02,0.9046213261831043,0.8874068564983038,0.8058477544437584,0.0025211388209937383,0.00594719862226738,0.008101348265935447
0.011,0.9053601048268084,0.8886949003197345,0.8046150594375417,0.002206402253455541,0.007139089429686784,0.00927838194665939
0.012,0.9053137376649208,0.8891495534048575,0.8044026008807803,0.002257471057264444,0.006533177351881163,0.008166004413170594
0.013,0.9052633886509994,0.889111660266235,0.8051676901488728,0.0023100852919669744,0.005889481388577708,0.007694567229733822
0.014,0.9052201086119965,0.888997966499624,0.8047001295743377,0.0022769967416442806,0.006650540287631844,0.008158031555128838
0.015,0.9051290249766536,0.8893011187839754,0.8046151497647203,0.0021740858833200452,0.005182154920569218,0.007120501807139977
