,ID,URL,Completo,Valid,Online
0,1234894,http://euroconnect.fr,1.0,INVALID,Offline
1,1234893,http://www.jazztel.com/,1.0,INVALID,Offline
2,1234892,http://jazztel.com,1.0,INVALID,Offline
3,1234891,http://www.reyrey.com/,1.0,INVALID,Offline
4,1234890,http://reyrey.com,1.0,INVALID,Offline
5,1234888,http://,1.0,INVALID,Offline
6,1234887,http://www.donpac.ru/,1.0,INVALID,Offline
7,1234886,http://,1.0,INVALID,Offline
8,1234863,http://www.citibank.com.br/br/BRGCB/JPS/portal/Index.do.php,0.0,INVALID,Offline
9,1234851,http://www2.camara.gov.br/2011/noticias/congresso/brasilia/dilma/0-3473892.html-0.54612,0.0,INVALID,Offline
10,1234821,"http://services.runescape.com/m=forum/sl=0/forums.ws?98,99,268,62290811",0.0,INVALID,Offline
11,1234820,http://avandialegalad2.com/?AFID=93511&SID=,1.0,INVALID,Offline
12,1234819,http://perfectdeliveries.com/click.track?CID=167565&AFID=185021&ADID=548091&SID=,0.0,INVALID,Offline
13,1234813,https://www.rocketlawyer.com/secure/landing/view-messages.aspx?msg=2b6b35f0-1310-44f3-856e-e71e7b4173f1,0.0,INVALID,Offline
14,1234811,http://livingsocial.com/cities/13-san-jose/confirm?ref=broader_roadblock&skippable=true&ver=972,0.0,INVALID,Offline
15,1234810,http://www.livingsocial.com,1.0,INVALID,Offline
16,1234807,http://t.co/12C5sdf,1.0,INVALID,Offline
17,1234738,http://renunta-la-fumat.ro/cumpara.php,1.0,INVALID,Offline
18,1234731,http://banescousa.com,1.0,INVALID,Offline
19,1234663,http://www.coomatoso.com/images/hotoryl.htm,1.0,INVALID,Offline
20,1234660,http://sejafelizcontepiadas.notlong.com/,1.0,INVALID,Offline
21,1234616,http://fabbo.eu/,1.0,INVALID,Offline
22,1234585,http://sm3v.9hz.com/,1.0,INVALID,Offline
23,1234578,http://www.taic.doh.gov.tw/public/hygiene/thumb2.php#anexo-planilha-arquivo.doc,0.0,INVALID,Offline
24,1234470,http://www.deanery.wigan.sch.uk/images/ass_atualizar.php,0.0,INVALID,Offline
