alpha,lambda,Accuracy,Kappa,AccuracySD,KappaSD
1,0.01,0.841306273,0.680059809,0.001630298,0.003278543
1,0.02,0.828174951,0.653083806,0.00154155,0.003101024
1,0.03,0.821371907,0.638846338,0.001654162,0.003462182
1,0.04,0.817080941,0.629856678,6.05e-4,0.001418963
1,0.05,0.815554461,0.62663285,7.87e-4,0.001788512
1,0.06,0.814887376,0.62517508,5.83e-4,0.001296429
1,0.07,0.814472702,0.624242456,6.69e-4,0.001481746
1,0.08,0.813799612,0.622731738,3.86e-4,0.001003424
1,0.09,0.812387321,0.619708891,5.45e-4,0.001308254
1,0.1,0.810987043,0.616758832,2.35e-4,6.39e-4
1,0.001,0.859089159,0.716239534,0.001172016,0.002453308
1,0.002,0.857301257,0.712578707,0.001719462,0.003545026
1,0.003,0.855438233,0.708797919,0.001990508,0.004085299
1,0.004,0.853716438,0.705285529,0.001862993,0.003815976
1,0.005,0.851679129,0.701148865,0.001702954,0.003486668
1,0.006,0.849545662,0.69681201,0.001873855,0.00384405
1,0.007,0.847496334,0.692648951,0.001951992,0.004010244
1,0.008,0.845591237,0.688765381,0.001648365,0.003443316
1,0.009,0.843653089,0.684822247,0.001779954,0.003707191
1,0.01,0.841799079,0.681045903,0.001528851,0.003201633
1,0.001,0.855026562,0.707978152,0.00107495,0.002254411
1,0.002,0.854641937,0.707169251,0.001276353,0.002676657
1,0.003,0.853863673,0.705565109,0.001444584,0.003026503
1,0.004,0.852920139,0.70363413,0.001655648,0.003460436
1,0.005,0.851709172,0.701158626,0.00160641,0.003357361
1,0.006,0.850663474,0.699026355,0.001634555,0.00341214
1,0.007,0.849548663,0.696757599,0.001739265,0.003622716
1,0.008,0.848857541,0.69533956,0.001523707,0.003177246
1,0.009,0.848052233,0.693692413,0.001433967,0.002997765
1,0.01,0.846973479,0.691491003,0.001570277,0.003271474
1,1e-4,0.858941919,0.716022595,0.001280073,0.002699429
1,0.0011,0.85892389,0.715899973,0.001210369,0.002536189
1,0.0021,0.857066877,0.712105415,0.001687758,0.003480735
1,0.0031,0.855260945,0.708434786,0.002020552,0.004142023
1,0.0041,0.853524126,0.704896541,0.001842482,0.003768466
1,0.0051,0.851507851,0.700799898,0.001725236,0.003532564
1,0.0061,0.849191088,0.696102997,0.002015048,0.004115945
1,0.0071,0.847376138,0.692402771,0.00191727,0.003945163
1,0.0081,0.845257697,0.68809294,0.001437713,0.003014295
1,0.0091,0.8434758,0.684460128,0.001802115,0.003748965
1,1e-4,0.855038581,0.708036299,9.92e-4,0.002076244
1,0.0011,0.855023558,0.707969589,0.001086266,0.002271961
1,0.0021,0.854599869,0.707081262,0.001237158,0.002596298
1,0.0031,0.853761507,0.705354859,0.001488663,0.003118161
1,0.0041,0.85277891,0.703347171,0.001657956,0.003464265
1,0.0051,0.851588976,0.700913871,0.001650991,0.003446025
1,0.0061,0.850522245,0.698740221,0.001529488,0.00319936
1,0.0071,0.849461521,0.696578867,0.001733464,0.003612899
1,0.0081,0.848854537,0.695334121,0.00148365,0.003094923
1,0.0091,0.847904993,0.693393411,0.001456229,0.003038673
1,1e-4,0.8589419186844773,0.7160225948338805,0.001280073134419549,0.002699429125247826
1,2e-4,0.8590801428179222,0.7162949094349929,0.0012425392995775019,0.00261829048826609
1,3.0000000000000003e-4,0.8592213731585958,0.7165622742024716,0.001153816699654744,0.0024328030925881328
1,4e-4,0.8593776268605285,0.7168632674706159,0.0012121028110837944,0.0025546828619159947
1,5e-4,0.8594617638686335,0.7170263351196097,0.0012426449598744837,0.0026169571291546727
1,6.000000000000001e-4,0.8594527488586576,0.7169998060078331,0.001382578285355545,0.002893612738270354
1,7.000000000000001e-4,0.8594226997885277,0.71693520976927,0.0013968256772679613,0.0029168663267732423
1,8e-4,0.8593265433239272,0.7167354581513322,0.0012990402107727586,0.0027235932034283135
1,9.000000000000001e-4,0.8592604357940173,0.7165910883824474,0.0013517586286521512,0.0028248027034691848
1,0.001,0.8590891585953865,0.7162395338607047,0.001172015696357958,0.002453308045532351
