shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD
0.001,2,1,50,0.5288348310304428,0,7.523984354102802e-4,0
0.01,2,1,50,0.8129612223316967,0.6211091058087316,0.00596138348229443,0.013056066241363348
0.1,2,1,50,0.842589358303338,0.6833293198665106,0.004087539277304381,0.008027383157551716
0.001,4,1,50,0.5288348310304428,0,7.523984354102802e-4,0
0.01,4,1,50,0.833622794818861,0.6639121335549902,0.0017951230571704973,0.003802666787733109
0.1,4,1,50,0.857517614556993,0.7132665682259772,0.0026166456917781277,0.005293813419175039
0.001,6,1,50,0.5288348310304428,0,7.523984354102802e-4,0
0.01,6,1,50,0.8391938479607877,0.6753345721919422,0.0014299752782722622,0.002883375791978221
0.1,6,1,50,0.8630135311185095,0.7243373134483435,0.0010705501145134451,0.0021406729789837497
0.001,2,1,100,0.8103560149217295,0.6153960256510483,9.312865956314298e-4,0.002057097473135445
0.01,2,1,100,0.8179553607038949,0.6318801080749982,0.006643129072655004,0.014365805380177857
0.1,2,1,100,0.8552729661016804,0.7088462812289342,0.00214204709869594,0.0042919090741716836
0.001,4,1,100,0.769105024699628,0.5262282289928906,0.00530594356073574,0.011273580012751704
0.01,4,1,100,0.8373157956599502,0.6717197217742995,9.517513615398919e-4,0.002045161119282233
0.1,4,1,100,0.86710918562578,0.7326360885172916,0.0018720657436552717,0.0037713545503860147
0.001,6,1,100,0.7761905336940668,0.5411459547084256,0.01176368867885885,0.024894034395823432
0.01,6,1,100,0.8446326768330331,0.6866253600392096,0.001350684810468389,0.0027344647809038787
0.1,6,1,100,0.8723617089720335,0.7432180040082339,0.0014056806268699558,0.002826413477855156
